# Flux (atmospheric extinction and telluric absorption corrected), Flux uncertainty (atmospheric extinction and telluric absorption corrected), Sky flux (atmospheric extinction and telluric absorption corrected)
3.075717563525608288e-13,1.113582934164355804e-15,7.264261104448257616e-14
3.086208247223573861e-13,1.109043955156826780e-15,7.191557350083055355e-14
3.078109369214679550e-13,1.103699311160984633e-15,7.139640054354347344e-14
3.078322611109229336e-13,1.100008138286129515e-15,7.105750253858024027e-14
3.079883591598608900e-13,1.095706986729789699e-15,7.073254780615968544e-14
3.079894607914512514e-13,1.091060260987594073e-15,7.021007397623671762e-14
3.087568248875995883e-13,1.083738658167658127e-15,6.963436341001937199e-14
3.078436356267396010e-13,1.080158428888054672e-15,6.951224180784166130e-14
3.070073809162549627e-13,1.076636542985840015e-15,6.914510103120171361e-14
3.058901818889694328e-13,1.072784239167789094e-15,6.905596829270145392e-14
3.045267950523155827e-13,1.069033861983756243e-15,6.878213891505589758e-14
3.040046042388608431e-13,1.067443277224504181e-15,6.847163012752067237e-14
3.033657982836525817e-13,1.064212963538865569e-15,6.818614753935180274e-14
3.021840149845011639e-13,1.060084265174425905e-15,6.801482387444938649e-14
3.018323617871910294e-13,1.057922339630120688e-15,6.776972565637361279e-14
3.009453206534081407e-13,1.055350392456118832e-15,6.763022459162337186e-14
2.990400220149610585e-13,1.054236783695813870e-15,6.760343811928153371e-14
2.972118194168307042e-13,1.051966026014605818e-15,6.754346013832699051e-14
2.970078393442388862e-13,1.048744198994510190e-15,6.735501202922447393e-14
2.970021061249399251e-13,1.046780977746256779e-15,6.718593812905638316e-14
2.957690311176618629e-13,1.041251590269146934e-15,6.682701965585603265e-14
2.957858258474154960e-13,1.037532521408576877e-15,6.651984669289259927e-14
2.964032699202294348e-13,1.035155788204050480e-15,6.607820517325375524e-14
2.958944736246204541e-13,1.031981315288979883e-15,6.575903267751076466e-14
2.953306140365476281e-13,1.029116600509258690e-15,6.569253273057411291e-14
2.941384143025181779e-13,1.025262306662091271e-15,6.550668495376974736e-14
2.945142575026256504e-13,1.022369383436041246e-15,6.519628379287200051e-14
2.947979239810420555e-13,1.020227691060535565e-15,6.491265700364235945e-14
2.938615225324968509e-13,1.016654368407482773e-15,6.419887081422671684e-14
2.922608942529963627e-13,1.012281534671550537e-15,6.399069978421983541e-14
2.920080358434082678e-13,1.010099278609851481e-15,6.383471102484075826e-14
2.925848601218438555e-13,1.006388388475735609e-15,6.337879420672688810e-14
2.931212609259144105e-13,1.004623636165945962e-15,6.323264336031698612e-14
2.916035705586176661e-13,1.004245880946385632e-15,6.313588580056188241e-14
2.906915152635790852e-13,9.978875855580880990e-16,6.296533038119266329e-14
2.897520040120322063e-13,9.940221146697332670e-16,6.263461996074511555e-14
2.879367930845973662e-13,9.899788245166228970e-16,6.242393090638902519e-14
2.876600164078721429e-13,9.881393844838783176e-16,6.249121176519714513e-14
2.872634910621238324e-13,9.859137603474768541e-16,6.248206361609669732e-14
2.863699158870090272e-13,9.826596136482295946e-16,6.229647244019377688e-14
2.858931211775085154e-13,9.791207373870125255e-16,6.222434421904703328e-14
2.856275365531258963e-13,9.811721143328525822e-16,6.171366586588636883e-14
2.840308242157264778e-13,9.768174706649525771e-16,6.163307446687722966e-14
2.823348951907867324e-13,9.694449677657876746e-16,6.159972685337818734e-14
2.817905630973414066e-13,9.669118908583581926e-16,6.128768868728602305e-14
