# Flux (atmospheric extinction and telluric absorption corrected), Flux uncertainty (atmospheric extinction and telluric absorption corrected), Sky flux (atmospheric extinction and telluric absorption corrected)
1.289225393953531722e-15,7.079580566989684994e-17,1.096942846668674784e-14
1.132588532216879594e-15,6.973520230882389951e-17,1.093256597170228059e-14
1.014084876476169195e-15,6.885581238735251241e-17,1.087061985386268972e-14
9.076145291664402078e-16,6.766196199225611559e-17,1.088152496566508632e-14
8.306961550798607982e-16,6.670924860779796400e-17,1.084427717023536699e-14
8.178366755274164269e-16,6.618362433365348102e-17,1.081669242223950256e-14
8.336831330430241365e-16,6.625280452800866142e-17,1.079324619319758448e-14
6.877255223522073556e-16,6.534579371465334660e-17,1.079150352905432428e-14
5.970998467518273642e-16,6.468086764366402198e-17,1.076263947123970535e-14
5.633208338644828459e-16,6.445307012571482779e-17,1.075391711260062349e-14
5.183256577934562334e-16,6.372554358125465612e-17,1.072979110848813876e-14
5.054165473074565727e-16,6.320555686310534017e-17,1.069642172791428022e-14
5.021138477397203197e-16,6.291941759766544325e-17,1.065455748394931752e-14
4.837508083904789833e-16,6.244987139109150284e-17,1.064730585663766479e-14
4.925264115386227024e-16,6.263192653133813777e-17,1.059781351500782894e-14
4.896344544246653191e-16,6.239869165825074320e-17,1.058516609646676922e-14
4.782302287669438851e-16,6.214524578500966394e-17,1.061397759636283235e-14
4.812367559569977312e-16,6.208418513076052450e-17,1.051376144876305704e-14
4.674712137311524955e-16,6.182914590797623161e-17,1.048979859939274871e-14
4.499485407960324508e-16,6.142431181440453245e-17,1.048530204230347210e-14
4.077620706624156879e-16,6.088559042839792271e-17,1.048014496277112541e-14
4.497095003820592953e-16,6.138412776271749764e-17,1.041911610092427785e-14
4.408064962554623665e-16,6.113727219231439746e-17,1.039274608791863450e-14
4.443101595993767787e-16,6.088296103448842646e-17,1.033781534623895622e-14
4.566271235526104471e-16,6.062908364495115602e-17,1.028379722521643512e-14
4.282577604159983931e-16,6.007052904895547893e-17,1.025277340474581692e-14
4.294286629909620823e-16,5.992386647815657165e-17,1.022577833503523978e-14
4.203668500227528590e-16,5.967030253169911681e-17,1.022084155784990868e-14
3.843715644610382844e-16,5.914214464964223874e-17,1.021319953610514095e-14
4.086275716533269194e-16,5.933103232093029391e-17,1.013217972550404085e-14
3.674329630921647454e-16,5.865984147244483919e-17,1.010895953637181430e-14
3.844248817235970340e-16,5.881750800520176338e-17,1.004871649335404050e-14
3.616474391463584160e-16,5.874725040668628954e-17,1.004565766255762397e-14
3.681282432117332342e-16,5.895573577517958386e-17,1.010451485775080028e-14
3.692936015225333225e-16,5.957413025129641946e-17,1.017930548586730066e-14
3.804885910937909007e-16,6.034046319503915182e-17,1.025204658559901722e-14
4.025885602804330636e-16,6.070162440353780369e-17,1.025451856508319198e-14
4.365003859208595931e-16,6.058864124277604327e-17,1.026555996352424508e-14
4.757092089985804621e-16,6.061991373763857692e-17,1.024965605862470710e-14
5.314843316994254166e-16,6.083606390525140044e-17,1.015381878668724017e-14
5.604308540649838383e-16,6.069120513460629309e-17,1.011679071148542107e-14
5.672412449663056762e-16,6.068472745943504048e-17,1.009624149711386627e-14
5.339837612338360079e-16,6.013156422109798756e-17,1.005243014197065334e-14
5.082617066234513752e-16,5.990204250903524220e-17,1.004712635907869121e-14
4.947644645194298432e-16,5.983544119105664295e-17,1.003275080698922660e-14
4.741564143625539958e-16,5.963780696502550339e-17,1.005610337978312442e-14
4.520281365405319604e-16,5.917761996994789196e-17,1.009290804153223581e-14
4.312121539921129160e-16,5.900073422961187579e-17,1.009146579036027341e-14
4.176640323539055540e-16,5.910568560861481744e-17,1.004381186404987213e-14
4.233524704831445818e-16,5.895453310583793876e-17,9.962898016181786802e-15
4.370803845952670972e-16,5.860972042103372014e-17,9.886509586081789283e-15
4.204494896008472797e-16,5.806380302778393144e-17,9.858864091132027507e-15
3.995834909001104476e-16,5.756256273694807900e-17,9.857903271979765273e-15
3.967318986548856532e-16,5.748548146818939686e-17,9.819147533780767220e-15
4.091888503043458001e-16,5.772094605767049140e-17,9.752652569030582986e-15
4.055882470882690582e-16,5.780660585051228712e-17,9.730259188547220164e-15
3.847595007920306032e-16,5.738510327376701413e-17,9.765483125924419261e-15
3.643026554365433369e-16,5.702859562185132895e-17,9.788128684765364564e-15
3.401605516664329555e-16,5.652729829928891618e-17,9.835433254385237505e-15
3.380286630629799888e-16,5.655144590487166562e-17,9.808734688092102313e-15
3.322355643495074774e-16,5.678971670976944333e-17,9.730554104475100205e-15
3.309738545748199743e-16,5.661289494354724578e-17,9.700402299974294959e-15
3.341847570160673812e-16,5.637661479546939202e-17,9.697646914034769399e-15
3.330552445859715807e-16,5.604229378991808810e-17,9.690532177904557960e-15
3.197874616648658246e-16,5.597095593628047111e-17,9.644951230028184859e-15
3.524384610082022944e-16,5.625809373253762625e-17,9.610142590745322811e-15
3.608136377598967092e-16,5.641428517092412547e-17,9.600120679456971979e-15
3.118393046391890061e-16,5.575364640662679489e-17,9.685923076401422895e-15
3.007081081912367599e-16,5.551494444365784178e-17,9.636501587700789958e-15
3.124695392274103973e-16,5.551224990556366433e-17,9.591895951796043269e-15
3.548030710752230898e-16,5.576780981655667472e-17,9.529448400610868401e-15
3.629989241162925516e-16,5.593507140133237937e-17,9.500242147996501103e-15
3.705294171291495211e-16,5.594385320944558707e-17,9.490125440057672320e-15
3.465480584217200556e-16,5.557597452879315964e-17,9.534806583154118966e-15
3.559815794024892681e-16,5.548403627089076047e-17,9.529661498810543741e-15
3.279994244251650062e-16,5.538046454868197320e-17,9.517114114532205279e-15
3.439620304252318732e-16,5.531910446316894899e-17,9.464681443414953157e-15
3.273751332550516536e-16,5.509062551480881207e-17,9.440014217804214509e-15
3.265727462073198621e-16,5.501900075943040896e-17,9.462797935796702412e-15
3.372346620402149436e-16,5.509597201162329689e-17,9.470947476859446385e-15
3.362410280601123736e-16,5.490121525496251841e-17,9.581695716863401730e-15
3.642902421378102480e-16,5.605108475085871511e-17,9.854230231869861405e-15
4.042950327596044499e-16,5.781439120648280358e-17,1.039218482379347896e-14
3.906464937426053043e-16,5.881395262711643387e-17,1.085508639333587357e-14
3.720002459448191355e-16,5.895567869310631819e-17,1.105159289000728558e-14
4.127858647422244183e-16,5.914467151374098333e-17,1.090477447830428183e-14
4.133703129848573245e-16,5.805293611207389827e-17,1.042890783554717728e-14
4.005310718384680749e-16,5.597477982168286366e-17,9.846690928859658665e-15
3.965985170821491508e-16,5.467980211176062058e-17,9.361670666211613442e-15
4.156295308441210030e-16,5.444391183235402057e-17,9.191554490442681146e-15
4.319465999052748336e-16,5.447257854647179574e-17,9.136816205918745990e-15
4.399042686121239556e-16,5.443855826859388920e-17,9.136147653550797427e-15
4.224804231943243930e-16,5.419644816034722685e-17,9.138786475649099391e-15
4.232220283401844738e-16,5.400628961961030160e-17,9.120941129375219848e-15
4.082136154076026753e-16,5.365006955879067509e-17,9.092697492075419752e-15
4.137406345976609486e-16,5.383107526467268364e-17,9.050403328512735185e-15
4.254453264695095638e-16,5.374707600440060717e-17,9.025361204131925007e-15
4.174891462214618835e-16,5.343344013975357800e-17,8.997978526165899930e-15
4.165298810126695771e-16,5.314139271628582892e-17,9.016201722015607201e-15
4.119069520574651823e-16,5.309992970312420656e-17,9.012989452678620443e-15
4.184386830314411872e-16,5.313118363686057317e-17,8.955666689050813806e-15
3.999649639296164185e-16,5.277312052670452093e-17,8.918986170453239342e-15
3.823322531237835084e-16,5.253634768738488907e-17,8.947996131433354111e-15
3.720897978202465988e-16,5.232879435850424001e-17,8.946477183186749462e-15
3.538461965397207691e-16,5.191503418508898618e-17,8.938214148313427008e-15
3.582838952536633170e-16,5.187043450146074574e-17,8.890524617515126714e-15
3.716020119399187128e-16,5.173482896724556732e-17,8.843296104609148469e-15
3.952635494207575212e-16,5.191966227291492550e-17,8.795523521190642698e-15
3.976411279005858680e-16,5.176422236483240607e-17,8.762527778201568736e-15
3.910230768994643316e-16,5.143970371456391357e-17,8.754784545816445606e-15
4.006378962287914471e-16,5.146072416355004464e-17,8.748660845607864163e-15
3.884072881048953174e-16,5.143846672919617856e-17,8.765806343038631674e-15
3.944131901070722395e-16,5.141462630324851687e-17,8.740899202077316736e-15
4.050434953593290832e-16,5.108208185268975992e-17,8.663626070810491319e-15
4.029827188965690706e-16,5.074488855205625525e-17,8.618553639813486982e-15
