# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
3.459307838411832726e-13,1.391700252279193560e-15,9.754827664968686419e-14
3.503482328955689024e-13,1.389168844486168015e-15,9.635189051748448799e-14
3.554907667756720180e-13,1.392398394717543618e-15,9.591598813313474189e-14
3.579299332560573091e-13,1.391715156957352982e-15,9.508493243080032840e-14
3.583504778665983047e-13,1.387938254248950328e-15,9.472372064451837906e-14
3.570160979081851337e-13,1.381015766539863664e-15,9.409638383934501087e-14
3.555170127374353950e-13,1.374107185219918517e-15,9.377881832721656616e-14
3.555048388840094955e-13,1.369015436235151608e-15,9.334692889268118383e-14
3.538526595468599717e-13,1.356734049175776551e-15,9.200080623537769718e-14
3.525035597632097327e-13,1.345662083060697757e-15,9.088211680671687678e-14
3.515432437717801734e-13,1.336928099823631961e-15,9.003853499144242984e-14
3.501859536595558598e-13,1.329711116459087841e-15,8.941533354491466966e-14
3.499393669273600878e-13,1.322906526638330850e-15,8.856717651831612142e-14
3.485372749092611437e-13,1.313882340786673528e-15,8.773616416436531309e-14
3.474793496848673885e-13,1.306895523648554276e-15,8.733756395952489120e-14
3.464332642442958458e-13,1.296136305835357224e-15,8.614466844795058029e-14
3.464155822836983653e-13,1.288946720416405129e-15,8.525603311958668941e-14
3.449838516465047877e-13,1.282010424073036788e-15,8.473720263023309338e-14
3.417092713588408111e-13,1.271265251530665384e-15,8.431910535875647521e-14
3.405588393339737716e-13,1.265465153455725218e-15,8.379909511066489037e-14
3.398007201390879135e-13,1.259578691931803297e-15,8.321691764933067573e-14
3.384001548774070577e-13,1.250565981979372766e-15,8.258210961283246862e-14
3.371459234873958452e-13,1.245136454120923583e-15,8.216237863261647768e-14
3.354364718244540497e-13,1.239733219200113524e-15,8.210310531650760660e-14
3.335743211079329938e-13,1.234700104164465851e-15,8.200743626191261528e-14
3.331226763552308017e-13,1.230803585468225578e-15,8.166775227078528561e-14
3.325392461558683748e-13,1.225529371545417101e-15,8.114632938062029854e-14
3.312233809177708732e-13,1.217702116416469826e-15,8.021910987117423726e-14
3.301418690592033979e-13,1.211859735644508217e-15,7.963555760524965503e-14
3.307357645160248845e-13,1.210231436997752656e-15,7.928315212991042614e-14
3.297599607144117295e-13,1.205980105305828658e-15,7.883824421310729842e-14
3.282279412063453805e-13,1.200930005790161905e-15,7.849364428032302477e-14
3.278370317295975393e-13,1.200168168678281174e-15,7.847173601209348590e-14
3.274760332770519486e-13,1.198850153428147628e-15,7.856723443554150892e-14
3.269963932588713648e-13,1.196297192451822930e-15,7.846323970983322831e-14
3.260367191359943274e-13,1.192548125890560423e-15,7.812080169673828434e-14
3.254412744328819666e-13,1.189034313060247958e-15,7.759580113902652099e-14
3.246646363298273139e-13,1.185923387464783999e-15,7.736290497388870285e-14
3.240218740931000968e-13,1.185962573719427279e-15,7.765292496050283210e-14
3.231663023115957128e-13,1.185180695097586172e-15,7.781224603380311709e-14
3.219370755438786918e-13,1.181845505458660973e-15,7.752360156264401785e-14
3.208625851583338155e-13,1.177639575499788565e-15,7.712798599484180098e-14
3.193948820606427112e-13,1.172662602902864690e-15,7.703365147235834214e-14
3.188002827230239139e-13,1.169105203792759865e-15,7.657678039492141387e-14
3.185891385888028512e-13,1.166067699448148462e-15,7.648898444311224943e-14
3.153793858817945193e-13,1.157218714454950887e-15,7.613741467831790512e-14
3.153370287181956816e-13,1.154502306510346684e-15,7.578565798329847407e-14
3.145944069188419102e-13,1.150727338311110876e-15,7.533078536332088033e-14
3.136819486150280816e-13,1.145985601559549920e-15,7.528771900415087324e-14
3.127053269820733461e-13,1.140297751639342321e-15,7.456282821041566686e-14
3.121073292385556423e-13,1.134661804166187683e-15,7.385845760109271784e-14
3.112047931088012520e-13,1.128752376851377675e-15,7.357938815833526074e-14
3.107283449458148671e-13,1.123931006782523827e-15,7.318983043388666941e-14
3.093068247884583595e-13,1.118166735943124411e-15,7.254146971662740489e-14
3.079500865073315313e-13,1.113582934164355804e-15,7.264261104448257616e-14
3.079098983174948335e-13,1.109043955156826780e-15,7.191557350083055355e-14
3.066320024411006831e-13,1.103699311160984633e-15,7.139640054354347344e-14
3.062210696962388252e-13,1.100008138286129515e-15,7.105750253858024027e-14
3.056962749276248977e-13,1.095706986729789699e-15,7.073254780615968544e-14
3.050176802768239493e-13,1.091060260987594073e-15,7.021007397623671762e-14
3.039623030901888592e-13,1.083738658167658127e-15,6.963436341001937199e-14
3.030485473069126551e-13,1.080158428888054672e-15,6.951224180784166130e-14
3.022253184145076194e-13,1.076636542985840015e-15,6.914510103120171361e-14
3.011077696239104008e-13,1.072784239167789094e-15,6.905596829270145392e-14
2.999176326384990392e-13,1.069033861983756243e-15,6.878213891505589758e-14
2.997935511323101502e-13,1.067443277224504181e-15,6.847163012752067237e-14
2.991233140865906118e-13,1.064212963538865569e-15,6.818614753935180274e-14
2.978909567783817128e-13,1.060084265174425905e-15,6.801482387444938649e-14
2.976657295535419687e-13,1.057922339630120688e-15,6.776972565637361279e-14
2.970249988966126930e-13,1.055350392456118832e-15,6.763022459162337186e-14
2.956105102732396184e-13,1.054236783695813870e-15,6.760343811928153371e-14
2.944884727877566138e-13,1.051966026014605818e-15,6.754346013832699051e-14
2.947248825673903617e-13,1.048744198994510190e-15,6.735501202922447393e-14
2.947037371560696034e-13,1.046780977746256779e-15,6.718593812905638316e-14
2.930378119016559260e-13,1.041251590269146934e-15,6.682701965585603265e-14
2.925328357089575171e-13,1.037532521408576877e-15,6.651984669289259927e-14
2.927409061015723151e-13,1.035155788204050480e-15,6.607820517325375524e-14
2.921145737073960172e-13,1.031981315288979883e-15,6.575903267751076466e-14
2.915095939320501184e-13,1.029116600509258690e-15,6.569253273057411291e-14
2.903062669615211309e-13,1.025262306662091271e-15,6.550668495376974736e-14
2.902025011235589561e-13,1.022369383436041246e-15,6.519628379287200051e-14
2.902684318550817974e-13,1.020227691060535565e-15,6.491265700364235945e-14
2.893464179671090190e-13,1.016654368407482773e-15,6.419887081422671684e-14
2.877703829177463267e-13,1.012281534671550537e-15,6.399069978421983541e-14
2.875214096107387767e-13,1.010099278609851481e-15,6.383471102484075826e-14
2.872899158626501738e-13,1.006388388475735609e-15,6.337879420672688810e-14
2.875555774399596629e-13,1.004623636165945962e-15,6.323264336031698612e-14
2.860537481779857859e-13,1.004245880946385632e-15,6.313588580056188241e-14
2.851590511919661273e-13,9.978875855580880990e-16,6.296533038119266329e-14
2.842470434618808711e-13,9.940221146697332670e-16,6.263461996074511555e-14
2.826344266754648907e-13,9.899788245166228970e-16,6.242393090638902519e-14
2.824246657787541043e-13,9.881393844838783176e-16,6.249121176519714513e-14
2.820387795882332578e-13,9.859137603474768541e-16,6.248206361609669732e-14
2.811148098258738671e-13,9.826596136482295946e-16,6.229647244019377688e-14
2.802828484785933894e-13,9.791207373870125255e-16,6.222434421904703328e-14
2.800200787130302443e-13,9.811721143328525822e-16,6.171366586588636883e-14
2.784730114510717695e-13,9.768174706649525771e-16,6.163307446687722966e-14
2.771101307341163131e-13,9.694449677657876746e-16,6.159972685337818734e-14
2.765758718091772025e-13,9.669118908583581926e-16,6.128768868728602305e-14
2.758059171881450019e-13,9.639670510274628331e-16,6.112347481468421182e-14
2.746942787993010954e-13,9.597702476912050614e-16,6.093590125897663893e-14
2.739682068048500432e-13,9.562188590169603849e-16,6.047292272878848875e-14
2.726215318022246753e-13,9.524100240519586235e-16,6.050633922291677724e-14
2.713149370454745577e-13,9.480086867334820374e-16,6.015837327210378828e-14
2.701260779378664302e-13,9.444640736856928713e-16,6.004524035873678656e-14
2.700128443327190585e-13,9.427665745570417424e-16,5.983456686584555761e-14
2.697458107380180462e-13,9.410306516450963598e-16,5.982815322791325654e-14
2.680236285225018122e-13,9.369673006221588297e-16,5.969958201710578619e-14
2.676363576962656005e-13,9.356084559119493511e-16,5.939549552307116299e-14
2.673411016643628492e-13,9.349954786508768990e-16,5.932875138267306984e-14
2.669613387694093415e-13,9.345688601323899175e-16,5.930564396236189718e-14
2.664109864199728695e-13,9.325544475820217389e-16,5.920484641536569883e-14
2.661775188173650501e-13,9.306618886699032795e-16,5.899359973064055824e-14
2.657994190764727549e-13,9.281378433667480262e-16,5.866593052061298736e-14
2.651199872397325257e-13,9.244845926387872058e-16,5.842206056852574367e-14
2.641020422546681088e-13,9.222022344375568362e-16,5.818161710806667732e-14
2.631644415345895920e-13,9.206004782794700321e-16,5.800359387660627817e-14
2.624178237745538472e-13,9.149605247130038096e-16,5.791980167130141881e-14
2.609816245978022525e-13,9.086900639392534193e-16,5.766705216652292927e-14
2.599132575849962133e-13,9.057064227322336811e-16,5.753852120272307349e-14
2.589405290012258063e-13,9.030538270393007470e-16,5.753618963160624061e-14
2.577029229769621693e-13,8.995623336164045731e-16,5.731788846214837166e-14
2.568076536976468807e-13,8.967543834431140046e-16,5.717172233776522650e-14
2.564353552348689082e-13,8.946962352549868739e-16,5.696646064623099360e-14
2.557964139128510218e-13,8.928451639209327338e-16,5.694069503105576509e-14
2.559084897729736305e-13,8.921667478589729829e-16,5.673974971735774580e-14
2.550821069507166560e-13,8.903736944596362315e-16,5.652409394261690396e-14
2.542050830831625166e-13,8.881966596848381628e-16,5.644969649172808308e-14
2.541081108811957632e-13,8.870120834104792070e-16,5.632396685909038875e-14
2.532519369903103947e-13,8.847370001018729088e-16,5.625989624348076162e-14
2.527305581646378584e-13,8.826644375780336464e-16,5.612560505289931370e-14
2.524288192959236446e-13,8.793742719455750948e-16,5.603417699948793565e-14
2.518813547099219842e-13,8.767851962803372944e-16,5.589045154431202075e-14
2.512858957438398392e-13,8.758995445779028907e-16,5.569099965604121868e-14
2.491189530991062320e-13,8.705241891997371242e-16,5.557374078520857908e-14
2.489597000848385294e-13,8.670897524306039060e-16,5.530420918619180509e-14
2.486750288992415221e-13,8.650594039273051738e-16,5.517241331280505932e-14
2.483771237312606973e-13,8.648074493648547663e-16,5.498228133030205866e-14
2.467568389250260997e-13,8.604500134315540169e-16,5.478885919901178720e-14
2.469216119367620418e-13,8.600032457605625706e-16,5.453863738254237519e-14
2.470582632079154622e-13,8.631130974762436229e-16,5.450217028740015450e-14
2.457699018443110195e-13,8.599081155096329860e-16,5.424365869111029983e-14
2.444398526607187617e-13,8.566823227757370850e-16,5.431190277403214650e-14
2.433139297359040476e-13,8.496492420606732541e-16,5.395287367260037737e-14
2.431634774182911293e-13,8.482805559495574423e-16,5.401756148154229586e-14
2.419243859889910849e-13,8.443953455209169275e-16,5.373843264557418399e-14
2.406745416186037268e-13,8.407999392399615936e-16,5.347865394651298932e-14
2.394844610696589208e-13,8.376808159362225748e-16,5.336588376178768526e-14
2.381011334136483735e-13,8.343658932658643648e-16,5.319662293764055063e-14
2.359326224502372553e-13,8.310371882233957093e-16,5.313175381943861473e-14
2.339286645773030841e-13,8.301943252207110508e-16,5.348893349039997987e-14
2.319193239405246142e-13,8.318098611643724290e-16,5.400724201887282779e-14
2.303948136923056192e-13,8.370976338714842505e-16,5.452455426576547009e-14
