# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
1.142433264608174674e-15,6.222912669881051700e-16,6.951633776638946397e-14
1.026173351192320518e-15,6.185814761865243230e-16,6.918451440324773063e-14
7.349348084266154598e-16,6.145877544584786452e-16,6.895103359346425811e-14
4.771352682832085815e-16,6.110680163164169112e-16,6.878852566116309018e-14
7.875803118384409448e-16,6.079506893300834655e-16,6.818075420283716292e-14
9.810616383787108920e-16,6.049611525340853609e-16,6.771313568072387105e-14
9.712783682625937852e-16,6.017090352541888767e-16,6.736410008526144645e-14
9.408626699881400490e-16,6.000764355868000333e-16,6.718166411350524585e-14
8.520198584239147938e-16,6.020812419935981243e-16,6.746273068329599130e-14
1.091326793497258936e-15,6.010491603701777405e-16,6.706432066492913918e-14
1.530372457936522895e-15,5.980426931240827118e-16,6.630504195382056851e-14
1.310038478369815746e-15,5.943440171493531780e-16,6.589060406295045880e-14
1.039399775058090069e-15,5.900930536238121652e-16,6.538230091003958078e-14
9.022405684799878413e-16,5.857821487215994619e-16,6.485307477863485534e-14
1.108305156353377995e-15,5.844035573099366268e-16,6.465916200840901598e-14
8.519091995375507244e-16,5.832432334386981286e-16,6.489178950335776887e-14
1.179495210006623879e-15,5.829724380946034533e-16,6.480402311907951338e-14
8.960312288407232079e-16,5.802997531911984735e-16,6.478451731794132893e-14
1.046304402994609534e-15,5.837624240929899188e-16,6.525017942390918649e-14
7.812936122454107831e-16,5.818926233421813904e-16,6.529126863399036046e-14
1.105660606330790986e-15,5.793691152741259568e-16,6.466244329742673357e-14
9.248182585966714979e-16,5.761544489950410941e-16,6.437569459038690137e-14
9.533921237923913231e-16,5.736224534665793285e-16,6.397103549449117356e-14
1.015221031551524104e-15,5.710522142612932695e-16,6.357548329318356769e-14
9.591200881502326795e-16,5.688612485260071961e-16,6.341538509678500418e-14
1.079600831124245197e-15,5.680746494530619579e-16,6.331883312044737613e-14
9.622574286410469202e-16,5.670192455543783413e-16,6.333344198622839956e-14
1.099770898591717581e-15,5.671596479970020864e-16,6.327539751333308239e-14
1.234466736094236176e-15,5.707289698023196367e-16,6.363943005804752427e-14
9.895479041975372189e-16,5.755906410317308985e-16,6.429881955942884490e-14
9.130114714291847756e-16,5.763436582452591288e-16,6.431734269557349270e-14
1.027731025748016696e-15,5.735343364427748085e-16,6.386880960127862032e-14
9.656354090985434855e-16,5.719065859628036323e-16,6.367440531293591198e-14
7.915333445083352964e-16,5.706775647056555655e-16,6.371816218377400364e-14
1.019566337422283778e-15,5.691176254970022891e-16,6.343798222946142674e-14
9.678940537900588454e-16,5.678498415626587843e-16,6.341616946145202282e-14
9.805057680561341235e-16,5.658055687267667910e-16,6.320078074584002535e-14
1.070367819360195817e-15,5.635890239756560596e-16,6.291064158956289527e-14
1.049700536734863672e-15,5.612410988888642934e-16,6.261372424233055638e-14
1.252594899496932961e-15,5.588024562917583322e-16,6.212962801845802004e-14
1.002878517989909945e-15,5.556074946888504088e-16,6.190887059270738445e-14
6.603913293767363082e-16,5.527422511123481832e-16,6.181614848708395312e-14
8.593217076947032139e-16,5.514404080926678145e-16,6.147126085795796643e-14
9.877518395708020718e-16,5.493576715803761718e-16,6.111303758152020755e-14
7.606538230339131368e-16,5.479359162282590240e-16,6.119142031789745121e-14
8.278042334253527630e-16,5.472434179280221910e-16,6.114568383645996237e-14
7.593140047471319930e-16,5.480079955928201652e-16,6.141095751564104961e-14
1.001760746430924258e-15,5.506532594439194137e-16,6.166438137731940264e-14
1.203466925022172682e-15,5.509218905314092871e-16,6.161421721611217482e-14
8.553814534715718809e-16,5.489350320102102750e-16,6.164788294960322708e-14
6.807144297436162245e-16,5.471713150220809411e-16,6.153747268104416425e-14
1.081076299220088409e-15,5.474815423367723450e-16,6.121397507907075586e-14
1.213787844708283715e-15,5.461893204508884690e-16,6.093762811703873734e-14
1.066356757257400450e-15,5.433904570069548906e-16,6.065877170660891955e-14
9.838957306566289372e-16,5.411298676120906298e-16,6.044761674163976462e-14
8.326537323900594628e-16,5.392242314341368405e-16,6.038388475515879701e-14
9.069136499920174301e-16,5.378026773773566761e-16,6.022058512354547215e-14
9.853547882377064835e-16,5.350304271532658138e-16,5.981804396111093990e-14
1.159130635906406354e-15,5.298985104305013780e-16,5.901738399334345424e-14
1.002204124656342057e-15,5.247252305157132018e-16,5.842347676800405164e-14
9.972380020228509478e-16,5.156779060216054528e-16,5.735593548624824630e-14
1.004891043850656339e-15,5.068606249961596302e-16,5.635534939294426740e-14
9.443206185312565784e-16,5.025540672756526018e-16,5.601392411563964993e-14
1.089179081372431260e-15,5.003891472732357082e-16,5.582142181898330526e-14
1.081204991695224403e-15,4.945128971311903631e-16,5.528002834779339371e-14
9.944328888572124503e-16,4.918137595261389574e-16,5.515824855663808461e-14
8.051350730103916285e-16,4.886829169026640230e-16,5.491686964373736715e-14
1.031425523608365641e-15,4.878744242825240742e-16,5.477348436838261304e-14
9.064704025314308237e-16,4.831547546624530289e-16,5.437972296575244659e-14
8.083294339531011795e-16,4.820872747353591635e-16,5.443020000958622828e-14
9.781897306238653957e-16,4.810550114010288818e-16,5.420281535373094439e-14
1.149568944371828537e-15,4.802165574956141996e-16,5.402375682468366466e-14
1.107556722887285142e-15,4.789117741418635012e-16,5.392695073386276969e-14
1.015767583043596928e-15,4.769815186562327730e-16,5.372378005811935074e-14
8.978275781578195515e-16,4.754205345968319708e-16,5.363241916540886035e-14
8.435286148658677865e-16,4.745078865328076002e-16,5.353948609117620513e-14
1.049002277117310234e-15,4.758399484720765788e-16,5.350656697548219379e-14
1.100797358444522235e-15,4.752541949190724515e-16,5.342984176653471800e-14
1.166454016450517515e-15,4.739244584335707367e-16,5.317312791317514214e-14
9.946410802331179913e-16,4.725792352562851498e-16,5.311017330102770033e-14
9.518287400973526903e-16,4.712430782571368438e-16,5.297795076984198170e-14
8.461983990566509579e-16,4.701191524098935363e-16,5.289639548475007176e-14
9.700576558225386173e-16,4.690998074358812923e-16,5.254130736821118443e-14
1.010637764539707154e-15,4.678215240836547338e-16,5.225230689878612235e-14
9.369962285343231893e-16,4.661361301743793045e-16,5.200979584370302939e-14
9.691905614924585436e-16,4.645508733056325475e-16,5.169018686014138879e-14
9.981010496789521456e-16,4.636544268309851529e-16,5.152096079050097397e-14
8.751421916193546916e-16,4.632670882885660329e-16,5.163291837414020704e-14
9.081825713962925078e-16,4.626415239223868958e-16,5.156416621611590229e-14
9.485857886090422575e-16,4.618044883281786306e-16,5.145346095691769909e-14
7.780373501167180856e-16,4.613133281833124878e-16,5.150064010225569075e-14
8.114542880778303765e-16,4.600360046457217848e-16,5.125055326276398000e-14
9.389855889188818126e-16,4.583748096123301969e-16,5.085600487480144169e-14
8.201809415564600132e-16,4.559301389764254340e-16,5.051870228667006730e-14
8.834711184797359899e-16,4.543176010963089836e-16,5.021209001517536516e-14
9.079971863081896112e-16,4.532778165466698199e-16,5.006331473899242555e-14
1.008974575348401079e-15,4.537062709072580917e-16,5.021075503549188509e-14
1.033089648965990367e-15,4.534998714153858688e-16,5.031346842720474176e-14
7.747616819502998145e-16,4.524982258392314300e-16,5.057762093850356860e-14
9.486502950584349591e-16,4.528749717229165838e-16,5.068049722820277800e-14
1.073969583744576238e-15,4.521603010001295705e-16,5.063024691101414305e-14
1.041365533621993132e-15,4.513961460810115995e-16,5.072131234745290953e-14
8.380736294992678441e-16,4.490743732435068461e-16,5.061251853050354347e-14
7.680893814836596497e-16,4.480619375561429089e-16,5.056416760562764715e-14
8.863301072621065971e-16,4.469504162349190692e-16,5.033738304249829188e-14
7.879422706728048976e-16,4.442336133440349835e-16,4.997892846921919578e-14
9.628217807418511152e-16,4.423148834274932906e-16,4.947139852292230392e-14
1.007864053502499459e-15,4.399898387401255381e-16,4.905783427949112148e-14
9.231009570170062800e-16,4.374708846517573291e-16,4.879075790846590892e-14
9.590267067388982490e-16,4.356573140745435430e-16,4.852692791396910181e-14
1.101143880638283997e-15,4.351780206306328757e-16,4.839082198736024553e-14
9.979352489547331381e-16,4.346072587182219970e-16,4.845719782514693776e-14
8.898808137341735053e-16,4.335174413058085653e-16,4.840413787353832088e-14
9.189506964629559064e-16,4.325768126364775242e-16,4.825285413286336155e-14
9.371241723118988474e-16,4.315558661248456992e-16,4.813696198850109800e-14
9.597857194411904035e-16,4.306505392733736214e-16,4.807858924509168406e-14
1.073743507981911113e-15,4.299424327316052198e-16,4.794937653389817548e-14
1.175528876217282979e-15,4.298029337742297315e-16,4.794145361499510885e-14
9.472123509614187396e-16,4.295852947043112217e-16,4.822379153321366702e-14
9.078980234495585593e-16,4.288244852363772552e-16,4.825158472714718843e-14
9.738596928204124900e-16,4.270977199873935535e-16,4.795199372898447661e-14
9.960340377156729920e-16,4.255204326264762754e-16,4.767006170421037023e-14
1.100080019394670657e-15,4.245007869202525143e-16,4.741925119644004482e-14
7.489835379789551714e-16,4.223770436856090433e-16,4.742672805337857785e-14
7.422484615044790953e-16,4.179185470459539089e-16,4.698212414622017291e-14
8.952706225938402677e-16,4.156414672890334168e-16,4.666625772713218921e-14
8.859764930833640123e-16,4.136915809813497056e-16,4.660346918056129830e-14
9.990247951616046006e-16,4.127520742041793426e-16,4.643041271739596281e-14
9.473413980645221481e-16,4.113966951746079448e-16,4.625714493238729938e-14
1.004507539074531930e-15,4.095917683271926356e-16,4.592355711051281642e-14
1.002033724285564921e-15,4.055386885839781268e-16,4.538875019147908478e-14
9.888981952750423553e-16,4.048479545018473396e-16,4.534154080943059174e-14
9.695900291561957593e-16,4.040110947937328233e-16,4.524817705766065478e-14
9.644674258089099446e-16,4.041467496469526613e-16,4.537588018964332445e-14
9.117158402494730326e-16,4.042304196730352853e-16,4.553538718128340872e-14
9.991663786634383760e-16,4.044441079057635939e-16,4.558182814093075067e-14
1.093581939267824035e-15,4.042988214045859202e-16,4.556102917940325952e-14
1.019884692350150410e-15,4.040399330559243477e-16,4.567057089881672516e-14
1.197687757705407697e-15,4.037925714921500061e-16,4.550743202079778294e-14
1.183386200115647581e-15,4.034030376748680324e-16,4.549973459981154334e-14
9.273942150111382216e-16,4.022476354578426523e-16,4.551811400853205140e-14
8.175042882501480381e-16,4.013028713764370074e-16,4.539908528276003020e-14
1.026623302817578147e-15,4.014122614937851722e-16,4.522384229816408207e-14
1.002643588930339522e-15,4.009052514330209637e-16,4.520628310734854941e-14
9.418165148241666753e-16,4.000256442064755061e-16,4.513449856837529553e-14
8.118919508080696771e-16,3.990256707347551427e-16,4.514517329752898797e-14
8.220694567715890758e-16,3.979530304059698454e-16,4.503112798098906166e-14
8.378434589228574607e-16,3.970165668884416645e-16,4.487293538648980785e-14
8.711146140540465433e-16,3.957995655895657700e-16,4.465396205186937549e-14
1.024116330422899885e-15,3.947776832745404180e-16,4.439567519751956385e-14
8.982167737595010591e-16,3.923371064880757162e-16,4.417711533382494783e-14
8.999398945929312119e-16,3.882688589036182413e-16,4.369234870768431096e-14
8.136109989441756851e-16,3.843558771962486159e-16,4.333599640638282148e-14
7.350492636471805768e-16,3.803819026726727605e-16,4.295759456444472468e-14
8.843546355857883046e-16,3.784781444716148299e-16,4.264233942677733785e-14
9.239316485573267451e-16,3.781313558553378151e-16,4.263472204134230592e-14
9.905885290735217755e-16,3.773813796644777639e-16,4.258647288685386555e-14
9.473136756482956871e-16,3.763556782051117881e-16,4.254671317426982886e-14
8.496888608485977089e-16,3.757279797675699858e-16,4.260422348106539103e-14
9.994797709944414731e-16,3.758991309556236484e-16,4.260208451544837335e-14
1.016447773857745962e-15,3.742464792551087323e-16,4.241943444859142564e-14
1.020860087130092640e-15,3.729615814294256844e-16,4.224992440257379836e-14
1.003054394916606158e-15,3.714207755940628839e-16,4.200472869334824431e-14
1.082557903451806008e-15,3.699876557367889376e-16,4.170567275663097329e-14
8.938413775770398542e-16,3.664156106737325210e-16,4.129131307666498981e-14
9.671054348884482486e-16,3.651472576382608188e-16,4.102075959103964499e-14
8.160055807381241603e-16,3.655947678093025692e-16,4.125692143529393787e-14
9.337010498450605934e-16,3.653021062531084622e-16,4.123926724163002228e-14
1.184969360195285398e-15,3.650028347707999124e-16,4.111407447535560303e-14
1.021645030942105274e-15,3.651756089293170585e-16,4.139022789881321956e-14
1.014697305423415562e-15,3.646808341118239612e-16,4.136859096534540925e-14
1.014848808658451243e-15,3.627030956571918769e-16,4.095998020995710982e-14
1.038750281517850538e-15,3.608110601991384654e-16,4.054822042281074605e-14
1.076835696672079186e-15,3.590298484046600322e-16,4.015677601341581272e-14
9.228888816000567293e-16,3.579758725463918791e-16,4.013542427352507082e-14
8.596659138534382723e-16,3.575425699289606286e-16,4.017125164029860853e-14
7.901413127170537142e-16,3.577518265198344696e-16,4.036872442852683080e-14
8.657491076922157015e-16,3.574867557686974819e-16,4.030977176466879826e-14
9.164805896415502296e-16,3.566954757782169373e-16,4.015300749756007462e-14
9.299641499604639391e-16,3.551106781058227342e-16,3.983019692908381694e-14
1.036605690173556186e-15,3.535772686305396054e-16,3.944532466078738192e-14
1.059309365656928027e-15,3.521022382613664735e-16,3.915385639583380688e-14
1.100342720090887378e-15,3.512475033093067443e-16,3.902005173383319737e-14
9.387846560980178527e-16,3.501739555378498580e-16,3.908342387185634714e-14
8.666742513137752267e-16,3.493094281876656358e-16,3.910054436709615265e-14
8.588906007721538468e-16,3.484296818550414560e-16,3.903621649903037609e-14
9.520699514438936445e-16,3.478274068040428957e-16,3.889392773263965808e-14
1.069046603375131234e-15,3.467935271523750972e-16,3.861152161016196382e-14
9.430377895200503591e-16,3.454695648837225439e-16,3.848493103652008150e-14
8.571908621734823599e-16,3.445296284914739788e-16,3.842412961489145029e-14
9.278579845484836496e-16,3.446135033934469040e-16,3.846013195304667951e-14
1.050285572897488632e-15,3.450887429658841740e-16,3.854212896252830628e-14
9.123861617893500404e-16,3.453111533519698998e-16,3.877608819753074278e-14
9.151348687293291358e-16,3.454817410708924123e-16,3.887331051682488503e-14
