# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
5.155234233983381522e-16,1.297820677923285141e-16,1.796761557056185186e-14
4.731642474819606302e-16,1.290694187531841641e-16,1.793342471163429198e-14
5.440217790553011886e-16,1.284447841914546722e-16,1.780236009191368821e-14
6.172142329635804732e-16,1.276641222440361672e-16,1.762675706883178676e-14
5.705962749935844141e-16,1.269631645251812372e-16,1.758200735070036569e-14
5.740327755425233840e-16,1.263925771073028455e-16,1.754166302124919023e-14
5.705893852762676491e-16,1.252001516856470204e-16,1.740398513882359925e-14
5.505402643934707047e-16,1.237816859149066331e-16,1.723842368817498203e-14
4.984082621113694149e-16,1.224627696023174597e-16,1.709266046062340233e-14
4.843259065112961436e-16,1.215074946320652984e-16,1.696086485696600938e-14
5.729106754486784958e-16,1.206114915767718784e-16,1.676031042824663861e-14
5.748524928710577935e-16,1.192736169803346029e-16,1.653369579722876990e-14
5.493450126870374940e-16,1.182807194404792168e-16,1.640114267488655709e-14
5.070717466295581123e-16,1.169479438220065161e-16,1.625082377460438722e-14
5.660612164233578538e-16,1.159715889838952113e-16,1.611439611134345775e-14
5.629386642198754101e-16,1.152486932849820149e-16,1.603195787817111422e-14
4.649341069657212658e-16,1.143214241075025098e-16,1.598862160552494706e-14
5.671019244433052311e-16,1.138695848720144575e-16,1.586210163618984445e-14
5.794476522789501375e-16,1.132795251177144410e-16,1.576377918672706983e-14
5.712076291963208353e-16,1.121459945539560688e-16,1.562677067300969169e-14
5.670793940589527858e-16,1.115939945473569132e-16,1.556674212181272013e-14
5.538691900243494866e-16,1.110567664444958153e-16,1.550255841970987303e-14
5.224057670826607461e-16,1.108087820270359099e-16,1.549757974488985265e-14
5.187089002967188894e-16,1.103085407185143482e-16,1.542805652743718805e-14
5.606969756963907995e-16,1.098969678697714986e-16,1.535024427671046181e-14
6.112791952280604688e-16,1.090339479420449362e-16,1.519904887507843421e-14
5.068972940017717689e-16,1.082743630460912771e-16,1.518769569311999797e-14
4.713149311876154599e-16,1.077657283116077257e-16,1.514462640831916537e-14
5.176509701163627650e-16,1.074266322493747658e-16,1.505877523254147850e-14
5.133269312074767106e-16,1.068350088145271338e-16,1.496110430708440016e-14
5.844829690494589375e-16,1.064957605420152017e-16,1.482993297745037100e-14
5.211250899601175060e-16,1.065151035067732138e-16,1.487048066640817517e-14
5.198103287715666681e-16,1.059768741137654391e-16,1.477123130753145916e-14
5.017345867317763196e-16,1.059287545809315649e-16,1.481615307999985347e-14
5.712575855671126753e-16,1.056729467688182363e-16,1.473457161176666941e-14
6.243848255105979321e-16,1.054127810618020955e-16,1.466110241626120429e-14
6.119542883108327831e-16,1.052464739894480320e-16,1.464106824398203555e-14
5.910500289821132539e-16,1.053745702289593860e-16,1.465844590923846970e-14
5.311147811878475160e-16,1.051396822954408130e-16,1.465563357535816377e-14
6.204117269062121123e-16,1.049501173665371969e-16,1.456126897091564055e-14
6.015348419518191275e-16,1.044721218705542754e-16,1.450284792016256822e-14
6.152771578034317284e-16,1.041865975590490926e-16,1.447108867684489724e-14
6.286004817427482685e-16,1.039244293496299860e-16,1.444963871430619731e-14
6.233132191578352482e-16,1.034607775752216511e-16,1.439747883716605192e-14
6.881361964085998640e-16,1.030314808124296774e-16,1.429005237251299207e-14
6.260086906681677792e-16,1.025719664841251029e-16,1.427530874734524705e-14
5.890158868142708304e-16,1.021164222056187043e-16,1.424849571489944812e-14
6.122333087659653483e-16,1.015516158876007004e-16,1.415021755659744437e-14
6.029461571072247427e-16,1.008201962441939034e-16,1.404458680900719675e-14
6.541975848347589839e-16,1.002373104382314924e-16,1.393849160480823849e-14
6.881304300151002010e-16,9.968447429957992533e-17,1.384834413884322439e-14
7.974133010736029822e-16,9.929556679775188376e-17,1.371815822211884486e-14
8.819089129466030163e-16,9.897424056657721738e-17,1.363059673891236518e-14
8.346871401402695100e-16,9.841847579559968372e-17,1.360279099086323404e-14
7.183259874927365749e-16,9.788790372632433116e-17,1.363774755868208246e-14
7.490980191344938088e-16,9.743097030177030629e-17,1.354402231389634328e-14
7.879736797097306337e-16,9.683330844473068286e-17,1.341141187623579833e-14
7.498287896479695581e-16,9.631780946804280858e-17,1.337035475621227327e-14
7.538993222930121746e-16,9.557309595670061816e-17,1.327529654135255489e-14
7.068634719801447835e-16,9.496343503669807225e-17,1.323156384705755995e-14
6.812288112975410426e-16,9.460274630507819196e-17,1.320015703119949461e-14
6.493967056062759553e-16,9.419720689939858505e-17,1.316106977334164708e-14
5.996647512628952116e-16,9.379427823648507514e-17,1.314049662761323532e-14
5.934432956105594411e-16,9.356543597690135223e-17,1.311199928132756002e-14
5.859013490056754091e-16,9.317615436291480589e-17,1.304528169416853443e-14
5.747427063592068991e-16,9.273034095349518316e-17,1.297723332027107139e-14
5.832471160892804254e-16,9.234167247954134334e-17,1.290509056686317579e-14
5.888969343346662559e-16,9.222666424028074396e-17,1.290244109040076153e-14
5.216518948985497859e-16,9.193835351083336931e-17,1.292380007344486631e-14
4.680712305193802087e-16,9.172152441986733776e-17,1.292361918066738747e-14
4.621283358401821066e-16,9.138478713730397327e-17,1.285086405270491174e-14
4.892075544501792944e-16,9.115920144292479135e-17,1.278854167431724230e-14
4.290699725327149922e-16,9.056574447041990018e-17,1.272697084510206287e-14
3.933679334564106698e-16,9.000177668885838022e-17,1.265826522879421325e-14
3.713052413359466733e-16,8.940457763808997566e-17,1.257769498790342875e-14
4.207287549034945655e-16,8.915684094181508645e-17,1.251667754946257602e-14
4.090994176854354502e-16,8.892531930457010599e-17,1.250609126525882311e-14
3.856284682076460939e-16,8.861370956417358752e-17,1.248596742039375923e-14
4.052747807682706038e-16,8.822605953154764746e-17,1.239799339106437483e-14
3.589551065078096172e-16,8.781533771871230618e-17,1.240375803182053141e-14
2.907451998599394893e-16,8.726731321405331363e-17,1.234476767768719004e-14
3.090935205674007951e-16,8.670107282429771099e-17,1.219840753512548233e-14
2.936248963418418811e-16,8.629889186135175176e-17,1.213726115455094657e-14
3.459856472574005923e-16,8.581219098375280865e-17,1.198612641439799069e-14
4.269363440517444327e-16,8.518617298204243798e-17,1.180920158305358826e-14
4.429579020570933904e-16,8.497222695976529495e-17,1.177492328380607898e-14
3.950153770552512178e-16,8.477848756734089693e-17,1.180674763172574608e-14
3.494405940094360444e-16,8.462269544155079364e-17,1.184895835406149559e-14
3.518354451597967389e-16,8.452208191810394970e-17,1.185730239484741219e-14
4.357450338383211996e-16,8.442064854004524268e-17,1.178327141035318487e-14
4.021246671962150023e-16,8.426047698840463503e-17,1.180770893281553265e-14
3.591087905474674987e-16,8.418856710498922177e-17,1.187444697730488675e-14
4.627508580438032559e-16,8.404739719136181213e-17,1.177951685588490544e-14
4.614014759902781904e-16,8.379254013312069733e-17,1.176171776172872730e-14
4.215402396066627101e-16,8.357613074395958433e-17,1.177560303375893418e-14
4.410909937841259780e-16,8.337549091647208356e-17,1.173365967877143266e-14
4.601214639262516451e-16,8.331653129255910683e-17,1.173071807975115007e-14
4.624030750780950783e-16,8.309911782606866194e-17,1.170478595302091421e-14
4.979486726455177968e-16,8.286796583435780481e-17,1.164699192630787537e-14
5.062943914670651235e-16,8.250505182791018048e-17,1.158839034434268134e-14
5.760524399803872584e-16,8.229943454592381563e-17,1.151082365734578093e-14
6.489632582929068775e-16,8.219592028203598348e-17,1.145871990758382098e-14
6.874426763769717929e-16,8.213495567489117327e-17,1.145990905706371915e-14
7.341510460785891208e-16,8.219263405960188967e-17,1.147741741344124469e-14
7.738889284155739902e-16,8.215339610918826051e-17,1.146407138308101132e-14
8.874467788709406029e-16,8.222208965166123689e-17,1.141668372819771403e-14
1.088936203240664259e-15,8.259895142833331558e-17,1.137514048409782041e-14
1.274163473662096388e-15,8.312203797712405248e-17,1.137940699107546887e-14
1.423187556507359367e-15,8.354585663886024747e-17,1.136481024365181396e-14
1.504418254132106096e-15,8.368819628807102085e-17,1.133430349044288600e-14
1.590354806879731508e-15,8.362743209017630379e-17,1.126727444308958533e-14
1.694193370116347920e-15,8.346156672657052618e-17,1.115640150374465421e-14
1.718107846740927488e-15,8.309830656628327197e-17,1.107297057822422878e-14
