# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
1.011411431871106665e-12,4.662614318049251367e-15,2.601347561016749570e-13
1.016713763220106937e-12,4.669374616464422788e-15,2.599645248024124535e-13
1.020660055942642673e-12,4.669050279445196846e-15,2.593612361489405963e-13
1.019048036424347198e-12,4.646452478038349788e-15,2.590040401055528573e-13
1.023364705473021015e-12,4.659652107474100820e-15,2.579655582022392630e-13
1.021910146154372224e-12,4.653813470684217668e-15,2.566365738837937239e-13
1.019912066512126896e-12,4.643456292319309240e-15,2.564445672333198453e-13
1.017813235268959121e-12,4.611891444116923682e-15,2.549976470567164735e-13
1.011468618311290485e-12,4.577656040867371736e-15,2.518510400520695623e-13
1.000634274660411857e-12,4.534131534221263236e-15,2.490231652693865960e-13
9.928120694720653338e-13,4.489044870971221073e-15,2.457513314635356341e-13
9.931175928455383196e-13,4.467345924376505098e-15,2.469508202821561857e-13
9.921434610823546328e-13,4.467345220559360343e-15,2.454010661080766116e-13
9.910308216823707579e-13,4.455231906923900078e-15,2.441278772381076684e-13
9.961680342154886005e-13,4.434045315266884654e-15,2.439650577911977203e-13
9.945616284845089166e-13,4.455879535415758317e-15,2.430188319843070113e-13
9.892523352977240981e-13,4.427418025004856255e-15,2.432981253401583484e-13
9.860136557264633815e-13,4.420298612732963557e-15,2.420620012204682634e-13
9.828827567509371499e-13,4.408574217488370017e-15,2.414314831360454159e-13
9.839038552303024729e-13,4.399767175009201882e-15,2.403453267679030814e-13
9.833848312660037620e-13,4.367943576770056238e-15,2.386125771986739898e-13
9.784996315061060128e-13,4.370528496319974050e-15,2.372916806030668118e-13
9.746457424457230356e-13,4.356778621208097896e-15,2.374674637927308731e-13
9.757293556382279984e-13,4.343639171702733254e-15,2.374163699681698001e-13
9.671298939726611064e-13,4.316703307488428111e-15,2.362302741890385710e-13
9.675076940013514971e-13,4.306577366299955544e-15,2.355059812639682408e-13
9.742640581540017992e-13,4.307200687705087794e-15,2.354671087819530040e-13
9.716402635965468877e-13,4.298399110530657220e-15,2.355483691369797267e-13
9.658103345345608304e-13,4.292606668828447641e-15,2.351714203938000388e-13
9.587707781840694077e-13,4.292658265956104287e-15,2.347063807705715875e-13
9.576628408724652416e-13,4.284292895689402424e-15,2.342118887969192337e-13
9.593576451632602066e-13,4.275230927377178384e-15,2.334937686579566206e-13
9.548496195472040977e-13,4.243556819094094672e-15,2.328441181815553641e-13
9.518793002351068828e-13,4.235513529826984882e-15,2.319973854264901193e-13
9.490894390317937240e-13,4.229028001229907887e-15,2.317462263010469994e-13
9.486840012688783378e-13,4.224048150313991899e-15,2.312288899794979980e-13
9.479698966637913553e-13,4.217907566467689504e-15,2.303227883087093682e-13
9.456732969773392995e-13,4.205807801346466450e-15,2.297431763569508730e-13
9.427387477492845330e-13,4.195822838172603606e-15,2.294126296623413020e-13
9.385421931747722322e-13,4.180451721269293767e-15,2.290966863826610080e-13
9.347763935904596796e-13,4.165742530933384227e-15,2.287230768148246379e-13
9.304174859612864917e-13,4.150973878272578987e-15,2.280870112859912644e-13
9.255575138963207832e-13,4.141384471113623344e-15,2.271070104657209352e-13
9.244574111172060490e-13,4.138436092366723297e-15,2.260592029651944940e-13
9.309812916734231286e-13,4.147397800130203766e-15,2.257650976711965828e-13
9.315573375103108778e-13,4.137047479634623397e-15,2.254716133267276366e-13
9.305922892574967572e-13,4.127592081164592301e-15,2.251485484055160196e-13
9.300274181643790986e-13,4.118646857629284988e-15,2.247870281358180173e-13
9.224790559129977970e-13,4.116413792891121058e-15,2.249321137645638367e-13
9.223115722706360174e-13,4.102404665398028951e-15,2.250284143190612900e-13
9.239778370777734016e-13,4.100238119985460590e-15,2.242337402310551406e-13
9.260367321779646654e-13,4.123718728998112053e-15,2.240305195163966984e-13
9.210723507808132372e-13,4.116972158840359408e-15,2.238934966127202758e-13
9.158650657218787765e-13,4.079203353324743317e-15,2.233605085212793658e-13
9.154055853396834452e-13,4.076241619849400785e-15,2.235131626491733264e-13
9.114149292384311167e-13,4.077607145928262221e-15,2.245614173797236321e-13
9.101390601077729297e-13,4.085679186603369954e-15,2.258619338138701769e-13
9.060607514760971461e-13,4.121135718376345707e-15,2.278393207338245540e-13
9.075314267323194496e-13,4.127224101694440182e-15,2.278768728204989401e-13
9.035586941941449892e-13,4.120626458164270888e-15,2.293052259190047080e-13
8.986586275154547722e-13,4.092056549789399684e-15,2.287666361269876917e-13
8.944578251787185348e-13,4.086445217783883866e-15,2.286373596582541911e-13
8.872801261923379422e-13,4.078143536444072792e-15,2.284027425180805143e-13
8.821477139629460825e-13,4.052770215697718030e-15,2.290046462973268175e-13
8.805725635027775847e-13,4.068574311971453900e-15,2.306121300371300006e-13
8.809802928583284976e-13,4.097955062019647345e-15,2.317037791247265525e-13
8.811790594393449478e-13,4.141667782888649791e-15,2.361866997724915453e-13
8.790495205334369439e-13,4.142861413234598098e-15,2.381182546447320778e-13
8.772757177738638959e-13,4.172849696148658796e-15,2.414265850683847639e-13
8.764623961340810913e-13,4.209509187490299959e-15,2.447759189766819804e-13
8.756516193852972633e-13,4.259686610273645809e-15,2.484176846866497791e-13
8.748768218318322056e-13,4.293634034088623059e-15,2.517350950858571991e-13
8.744638193503719447e-13,4.319590408677662020e-15,2.537094210583376734e-13
8.745116477705691411e-13,4.323010082621144183e-15,2.561495963644258402e-13
8.733144169428119746e-13,4.363730339612637296e-15,2.599882686915728427e-13
8.759124858474792041e-13,4.420383335201533101e-15,2.631645686244798590e-13
8.820355755506260388e-13,4.473113587243450177e-15,2.668398638532344872e-13
8.873532661265712612e-13,4.507158374217235366e-15,2.696122833549187433e-13
8.908433684577998568e-13,4.540360937814109929e-15,2.724971632360802066e-13
8.915365247733524810e-13,4.544715209689114940e-15,2.740867337403832166e-13
8.881072185428524966e-13,4.518789762927188546e-15,2.746982714633249145e-13
8.861719087911121090e-13,4.521591841935632579e-15,2.735874661228109641e-13
8.866967233611427325e-13,4.520153481604087180e-15,2.721233277739655389e-13
8.814807538819731802e-13,4.490904639294353288e-15,2.715081319633614417e-13
8.788861739676824501e-13,4.488476397368863091e-15,2.713481153490968679e-13
8.843900771564171184e-13,4.487609890649409609e-15,2.707497548727678506e-13
8.908480817066599294e-13,4.498051509451685974e-15,2.697391314724063425e-13
8.935873319669655677e-13,4.496971252663943000e-15,2.677966571028528155e-13
8.940609653580829741e-13,4.485829436737108658e-15,2.656775880540698037e-13
8.914262173031201563e-13,4.465804816245225648e-15,2.640669479318861637e-13
8.846367456340331863e-13,4.411078465754223760e-15,2.601599666563002065e-13
8.766091630775565060e-13,4.345508105000026258e-15,2.551275974292711613e-13
8.699884565324543397e-13,4.299797071149135170e-15,2.527714879416780891e-13
8.654965194702554090e-13,4.261842264129580573e-15,2.511020709306316083e-13
8.634254037949552667e-13,4.248406560284845614e-15,2.492796791726329195e-13
8.664525543316194952e-13,4.232438760207227476e-15,2.474734311396773771e-13
8.661728748800245582e-13,4.212017508915655280e-15,2.461148338072629026e-13
8.694391148323005339e-13,4.216588185580379643e-15,2.446357266050362005e-13
8.730365447010168890e-13,4.222295374667785472e-15,2.435405077970307841e-13
8.763775954033243939e-13,4.221994235314868926e-15,2.434784354502484063e-13
8.823050880160108517e-13,4.218487576176020510e-15,2.435251437746591073e-13
8.848260924975735731e-13,4.216867595850660136e-15,2.433091633989234062e-13
8.811393741262527766e-13,4.204083861400070695e-15,2.429089705687310928e-13
8.866070893270920573e-13,4.223193704318867540e-15,2.425183072957439470e-13
8.889321139750873337e-13,4.235738932630189927e-15,2.420505244363446849e-13
8.862500198698238208e-13,4.202939068383746856e-15,2.417868538015827729e-13
